url,title,type,lemmatize_title,prediction
https://www.nytimes.com/2021/04/21/arts/television/tv-soundtracks-dawsons-creek-freaks-and-geeks.html,Why Don’t Some TV Shows Sound the Way They Used To?,ycombinator,whi don t some TV show sound the way they use To,0.5273276169955149
https://www.theregister.com/2021/04/26/emotet_sunday_25_april_killswitch_date/,Emotet malware self-destructs after cops deliver time-bomb DLL to infected PCs,ycombinator,emotet malwar self destruct after cop deliv time bomb dll to infect pc,0.5152908428822952
https://www.youtube.com/watch?v=Ihw_Al4RNno,Apple – App Tracking Transparency,ycombinator,appl app track transpar,0.5141690364118706
https://itnext.io/how-aws-ai-services-can-help-you-improve-your-foreign-language-6833c561af92,How AWS AI Services Can Help You Improve Your Foreign Language,ycombinator,how aw AI servic can help you improv your foreign languag,0.5090590068899574
https://www.wired.com/story/apple-ransomware-attack-quanta-computer/,Apple’s Ransomware Mess Is the Future of Online Extortion,ycombinator,appl s ransomwar mess Is the futur of onlin extort,0.5040074869420139
https://dfpi.ca.gov/2021/04/26/lambda-school-reaches-settlement-with-dfpi-agreeing-to-end-deceptive-educational-financing-practices,Lambda School Agrees to End Deceptive Educational Financing Practices,ycombinator,lambda school agre to end decept educ financ practic,0.4855169364075749
https://www.codastory.com/disinformation/myanmar-military-harassment/,Online attackers target children of Myanmar’s military junta,ycombinator,onlin attack target children of myanmar s militari junta,0.4728022202522
https://techcrunch.com/2021/04/26/smore-tv/,Dating app S’More bets on celebrity content with S’More TV,techcrunch,date app S more bet on celebr content with S more TV,0.4527618218747614
https://www.bmi.bund.de/SharedDocs/downloads/DE/veroeffentlichungen/themen/bauen/wohnen/smart-city-charta-langfassung.pdf?__blob=publicationFile&v=7,Smart City Charta / Post-Voting Society [pdf] [german],ycombinator,smart citi charta post vot societi pdf german,0.4494063056137064
https://www.getrevue.co/profile/firstdollar/issues/first-dollar-online-1-how-gumroad-ceo-made-his-first-dollar-online-564396,How Sahil Lavingia made his first $ online,ycombinator,how sahil lavingia made hi first onlin,0.4475178535880257
https://www.macstories.net/stories/ios-and-ipados-14-5-overview/,iOS and iPadOS 14.5 (The MacStories Overview),ycombinator,io and ipado the macstori overview,0.4424618023530191
https://dtf.ru/games/715117-insayder-starfield-pochti-gotova-i-mozhet-vyyti-uzhe-v-etom-godu,Инсайдер: Starfield почти готова и может выйти уже в этом году,comitet,"инсайдер почти готовый и мочь выходить уже в этот год
",0.7525406561220785
https://dtf.ru/cinema/715232-prava-na-remeyk-eshche-po-odnoy-priobrela-studiya-leonardo-di-kaprio-sam-akter-mozhet-sygrat-v-filme-glavnuyu-rol,Права на ремейк «Ещё по одной» приобрела студия Леонардо Ди Каприо. Сам актёр может сыграть в фильме главную роль,comitet,"право на ремейк еще по один приобретать студия леонардо ди каприо сам актер мочь сыграть в фильм главный роль
",0.7061925221490122
https://dtf.ru/cinema/715239-oskar-2021-pokazal-hudshie-reytingi-v-istorii-auditoriya-shou-za-god-obvalilas-na-58,"«Оскар-2021» показал худшие рейтинги в истории, аудитория шоу за год обвалилась на 58%",comitet,"оскар показывать плохой рейтинг в история аудитория шоу за год обвалиться на
",0.602171090670023
https://vc.ru/trade/239102-vozmozhno-li-malomu-biznesu-konkurirovat-s-krupnymi-setyami,Возможно ли Малому бизнесу конкурировать с крупными сетями?,comitet,"возможно ли малый бизнес конкурировать с крупный сеть
",0.5878826324504327
https://dtf.ru/gamedev/714743-sheydery-chto-i-kak,Шейдеры. Что и как,comitet,"шейдер что и как
",0.5381189784177829
https://dtf.ru/s/soulslike/715293-rukodely-vossozdali-pistolet-ohotnika-iz-bloodborne,Рукоделы воссоздали пистолет охотника из bloodborne,comitet,"рукодел воссоздавать пистолет охотник из
",0.5230687021375421
https://dtf.ru/games/715318-kalendar-relizov-na-may-2021,Календарь релизов на май 2021,comitet,"календарь релиз на май
",0.4917065997351061
https://vc.ru/tech/239091-apple-vypustila-obnovlenie-ios-14-5-s-novymi-pravilami-ob-otslezhivanii-dannyh-i-razblokirovkoy-iphone-po-apple-watch,Apple выпустила обновление iOS 14.5: с новыми правилами об отслеживании данных и разблокировкой iPhone по Apple Watch,comitet,"выпускать обновление с новый правило об отслеживание данный и разблокировка по
",0.484785043042396
https://vc.ru/trade/239099-the-honest-company-dzhessiki-alby-sobralas-na-ipo-s-ocenkoy-1-5-mlrd-ona-prodaet-podguzniki-i-kosmetiku-po-podpiske,"The Honest Company Джессики Альбы собралась на IPO с оценкой $1,5 млрд — она продаёт подгузники и косметику по подписке",comitet,"джессика альба собираться на с оценка млрд она продавать подгузник и косметика по подписка
",0.4813025565193748
https://tjournal.ru/tv/373733-reytingi-oskara-upali-do-rekordno-nizkogo-urovnya-v-ssha-ceremoniyu-vpervye-posmotreli-menshe-10-millionov-chelovek,Рейтинги «Оскара» упали до рекордно низкого уровня. В США церемонию впервые посмотрели меньше 10 миллионов человек,comitet,"рейтинг оскар упасть до рекордно низкий уровень в сша церемония впервые посмотреть мало миллион человек
",0.4559112963310029
https://dtf.ru/life/715299-kitay-podverg-cenzure-soobshcheniya-v-socsetyah-o-pobede-hloi-chzhao-na-oskare,Китай подверг цензуре сообщения в соцсетях о победе Хлои Чжао на «Оскаре»,comitet,"китай подвергать цензура сообщение в соцсеть о победа хлоя чжао на оскар
",0.4435711629945904
https://vc.ru/ask/239113-deklaraciya-dohodov-ot-dividendov-prodazhi-akciy-kak-delat-pravilno,"Декларация доходов от дивидендов, продажи акций, как делать правильно?",comitet,"декларация доход от дивиденд продажа акция как делать правильно
",0.4402698508814888
https://dtf.ru/sale/715288-switch-skidok-ne-zhdali-a-oni-prishli,"[Switch] Скидок не ждали, а они пришли",comitet,"скидка не ждать а они приходить
",0.4390807451187733
https://dtf.ru/mobile/715205-razblokirovka-iphone-v-maske-cherez-apple-watch-zapret-trekinga-i-novye-podkasty-vyshla-ios-14-5,"Разблокировка iPhone в маске через Apple Watch, запрет трекинга и новые «Подкасты»: вышла iOS 14.5",comitet,"разблокировка в маска через запрет трекинг и новый подкаста выходить
",0.4381240854322785
https://dtf.ru/kek/715334-uzhe-ne-bmw,Уже не BMW,comitet,"уже не
",0.432322748091671
